Species,Site,gross_photosynthesis,SA
Seriatopora hystrix,High,0.91532644,2.088
Acropora tenuis,High,1.206279983,9.301
Pocillopora damicornis,Low,1.631061221,2.627
Porites cylindrica,High,1.145653128,4.033
Heliopora coerulea,High,1.577041438,5.885
Acropora tenuis,High,1.384566118,4.95
Porites cylindrica,High,1.035945724,6.471
Pocillopora verrucosa,High,0.738993541,14.265
Acropora tenuis,Low,0.815048711,7.06
Seriatopora hystrix,Low,0.949600697,6.284
Porites cylindrica,High,0.496632273,8.753
Acropora nana,Low,1.161781018,12.722
Porites cylindrica,High,0.451662948,8.964
Acropora tenuis,Low,0.339969158,9.941
Pocillopora verrucosa,Low,2.17906351,3.626
Porites cylindrica,High,0.805648079,14.906
Pocillopora verrucosa,Low,1.285810534,9.342
Pocillopora verrucosa,High,1.312888102,8.21
Pocillopora damicornis,Low,0.961308815,6.121
Galaxea fascicularis,Low,0.57053184,8.354
Favites halicora,High,0.589239812,8.417
Pocillopora damicornis,Low,0.733838323,4.152
Pocillopora damicornis,High,1.459722558,4.041
Acropora nana,Low,1.466852159,5.093
Pocillopora verrucosa,High,1.431384981,7.936
Dipsastraea pallida,High,0.747950406,6.455
Pocillopora verrucosa,Low,0.94405582,5.403
Pocillopora verrucosa,High,2.183600995,5.945
Acropora tenuis,High,2.603685927,4.488
Seriatopora hystrix,Low,0.750913854,4.271
Seriatopora hystrix,High,1.036127506,4.342
Seriatopora hystrix,Low,1.089323048,5.658
Pocillopora verrucosa,Low,0.925805972,3.672
Porites cylindrica,Low,1.123824023,5.172
Acropora nana,High,1.713981616,7.036
Acropora hyacinthus,Low,0.57343601,6.165
Seriatopora hystrix,High,1.176606538,10.082
Seriatopora hystrix,High,1.383165467,3.034
Acropora tenuis,High,1.774648334,7.017
Heliopora coerulea,Low,0.253441238,4.556
Acropora tenuis,High,1.808681871,4.038
Seriatopora hystrix,Low,1.372681113,4.385
Acropora nana,Low,1.541034539,6.206
Favites halicora,Low,0.625116234,4
Seriatopora hystrix,High,1.878203932,4.049
Seriatopora hystrix,High,1.110646452,8.973
Heliopora coerulea,Low,0.5959293,3.403
Porites cylindrica,High,1.969710071,5.343
Acropora nana,High,1.927551506,4.627
Seriatopora hystrix,High,1.570310942,13.679
Acropora tenuis,Low,0.627614326,4.163
Porites cylindrica,High,0.481729329,6.273
Porites cylindrica,Low,1.930522488,4.285
Porites cylindrica,Low,1.101693409,3.219
Galaxea fascicularis,Low,0.389341992,9.515
Galaxea fascicularis,High,0.672768254,4.225
Acropora tenuis,Low,0.46030593,14.762
Acropora tenuis,High,2.057785485,4.914
Porites cylindrica,High,1.861643701,4.258
Pocillopora verrucosa,Low,0.780922774,5.658
Acropora nana,High,1.763881934,8.351
Porites cylindrica,Low,0.728431425,8.262
Porites cylindrica,Low,0.842166444,6.379
Pocillopora verrucosa,High,1.194440031,4.478
Dipsastraea pallida,High,1.011721781,12.91
Acropora nana,Low,1.334192747,7
Porites cylindrica,High,1.390842871,8.436
Seriatopora hystrix,Low,0.757115614,9.567
Pocillopora verrucosa,High,2.078188753,3.436
Acropora tenuis,Low,0.897665076,7.779
Seriatopora hystrix,Low,1.35044851,4.979
Porites cylindrica,Low,1.171489912,3.091
Galaxea fascicularis,Low,0.371715487,7.576
Favites halicora,High,0.702403821,3.262
